@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute 'PiggyBank X' numeric
@attribute 'PiggyBank Y' numeric
@attribute 'PiggyBank Z' numeric
@attribute 'Camera Position X' numeric
@attribute 'Camera Position Y' numeric
@attribute 'Camera Position Z' numeric
@attribute 'Camera Rotation X' numeric
@attribute 'Camera Rotation Y' numeric
@attribute 'Camera Rotation Z' numeric
@attribute 'Don\'t Touch X' numeric
@attribute 'Water Volume Rise' numeric
@attribute 'Don\'t Touch Z' numeric

@data
5170,'2024/04/19 15:32:19:718',16,-0.063576,-0.002979,-0.997973,-0.000261,0.001645,0.001873,?,?,?,?,?,?,?,?,?,?,?,?
5171,'2024/04/19 15:32:19:718',16,-0.063576,-0.002979,-0.997973,-0.000261,-0.000428,0.001873,?,?,?,?,?,?,?,?,?,?,?,?
5172,'2024/04/19 15:32:19:718',16,-0.063576,-0.002979,-0.997973,0.013293,-0.000428,0.001873,?,?,?,?,?,?,?,?,?,?,?,?
5173,'2024/04/19 15:32:19:727',16,-0.063576,-0.002979,-0.997974,0.013293,-0.000428,0.001873,?,?,?,?,?,?,?,?,?,?,?,?
5174,'2024/04/19 15:32:19:727',16,-0.063576,-0.003072,-0.997974,0.013293,-0.000428,0.001873,?,?,?,?,?,?,?,?,?,?,?,?
5175,'2024/04/19 15:32:19:727',16,-0.063549,-0.003072,-0.997974,0.013293,-0.000428,0.001873,?,?,?,?,?,?,?,?,?,?,?,?
5176,'2024/04/19 15:32:19:727',16,-0.063549,-0.003072,-0.997974,0.013293,-0.000428,0.005513,?,?,?,?,?,?,?,?,?,?,?,?
5177,'2024/04/19 15:32:19:727',16,-0.063549,-0.003072,-0.997974,0.013293,-0.000526,0.005513,?,?,?,?,?,?,?,?,?,?,?,?
5178,'2024/04/19 15:32:19:727',16,-0.063549,-0.003072,-0.997974,-0.004512,-0.000526,0.005513,?,?,?,?,?,?,?,?,?,?,?,?
5179,'2024/04/19 15:32:19:751',16,-0.063549,-0.003072,-0.997973,-0.004512,-0.000526,0.005513,?,?,?,?,?,?,?,?,?,?,?,?
5180,'2024/04/19 15:32:19:751',16,-0.063549,-0.002829,-0.997973,-0.004512,-0.000526,0.005513,?,?,?,?,?,?,?,?,?,?,?,?
5181,'2024/04/19 15:32:19:751',16,-0.063582,-0.002829,-0.997973,-0.004512,-0.000526,0.005513,?,?,?,?,?,?,?,?,?,?,?,?
5182,'2024/04/19 15:32:19:751',16,-0.063582,-0.002829,-0.997973,-0.004512,-0.000526,0.001992,?,?,?,?,?,?,?,?,?,?,?,?
5183,'2024/04/19 15:32:19:751',16,-0.063582,-0.002829,-0.997973,-0.004512,-0.007262,0.001992,?,?,?,?,?,?,?,?,?,?,?,?
5184,'2024/04/19 15:32:19:751',16,-0.063582,-0.002829,-0.997973,-0.02429,-0.007262,0.001992,?,?,?,?,?,?,?,?,?,?,?,?
5185,'2024/04/19 15:32:19:761',16,-0.063582,-0.002829,-0.997967,-0.02429,-0.007262,0.001992,?,?,?,?,?,?,?,?,?,?,?,?
5186,'2024/04/19 15:32:19:761',16,-0.063582,-0.002543,-0.997967,-0.02429,-0.007262,0.001992,?,?,?,?,?,?,?,?,?,?,?,?
5187,'2024/04/19 15:32:19:761',16,-0.063688,-0.002543,-0.997967,-0.02429,-0.007262,0.001992,?,?,?,?,?,?,?,?,?,?,?,?
5188,'2024/04/19 15:32:19:761',16,-0.063688,-0.002543,-0.997967,-0.02429,-0.007262,-0.000391,?,?,?,?,?,?,?,?,?,?,?,?
